rank,artist,career_score
1,taylor swift,0.7154212608582717
2,the weeknd,0.6610801320665446
3,bruno mars,0.5293512960418655
4,lady gaga,0.5010279587778655
5,eminem,0.4785870951590498
6,rihanna,0.42228917287981055
7,beyonce,0.3952159329224605
8,adele,0.3811729737147861
9,michael jackson,0.33257258985994576
10,whitney houston,0.31493234006655263
11,the beatles,0.28971926941516735
12,elvis presley,0.274442372111399
13,the rolling stones,0.22161490089486893
